Date,Etats-Unis,France,Canada
10/1909,3,29,32
11/1909,38,28,39
12/1909,45,16,4
01/1910,23,5,32
02/1910,37,25,12
03/1910,48,30,29
04/1910,10,3,48
05/1910,15,14,12
06/1910,15,34,39
07/1910,36,8,10
08/1910,7,30,44
09/1910,24,31,48
10/1910,31,49,28
11/1910,28,32,39
12/1910,29,25,12
01/1911,22,28,27
02/1911,23,45,7
03/1911,15,19,44
04/1911,38,37,40
05/1911,4,37,15
06/1911,42,46,0
07/1911,48,29,0
08/1911,49,33,6
09/1911,20,49,1
10/1911,19,20,6
11/1911,31,33,2
12/1911,25,32,16
01/1912,15,29,37
02/1912,42,33,35
03/1912,46,17,16
04/1912,18,1,49
05/1912,13,22,31
06/1912,30,45,11
07/1912,42,14,4
08/1912,48,18,41
09/1912,16,23,45
10/1912,12,12,13
11/1912,34,1,15
12/1912,30,42,8
01/1913,42,40,47
02/1913,2,23,19
03/1913,29,37,10
04/1913,40,36,44
05/1913,28,42,13
06/1913,7,20,30
07/1913,18,41,34
08/1913,19,48,18
09/1913,38,9,43
10/1913,35,6,45
11/1913,4,29,35
12/1913,7,39,31
01/1914,42,18,30
02/1914,34,42,13
03/1914,30,46,16
04/1914,49,20,8
05/1914,21,17,22
06/1914,30,28,40
07/1914,4,13,43
08/1914,43,17,26
09/1914,7,26,34
10/1914,1,29,11
11/1914,1,48,1
12/1914,23,10,28
01/1915,2,49,14
02/1915,17,24,16
03/1915,1,0,48
04/1915,1,33,3
05/1915,2,43,31
06/1915,15,21,1
07/1915,17,44,25
08/1915,12,40,43
09/1915,38,32,9
10/1915,14,28,7
11/1915,22,0,18
12/1915,44,12,21
01/1916,47,40,25
02/1916,48,14,5
03/1916,16,31,6
04/1916,16,11,1
05/1916,23,0,0
06/1916,43,12,26
07/1916,0,31,8
08/1916,40,30,16
09/1916,48,42,32
10/1916,36,11,30
11/1916,15,8,14
12/1916,12,15,5
01/1917,4,30,7
02/1917,11,5,33
03/1917,41,17,32
04/1917,31,42,31
05/1917,10,18,26
06/1917,50,50,40
07/1917,45,20,1
08/1917,5,27,10
09/1917,36,46,44
10/1917,35,3,31
11/1917,21,2,3
12/1917,48,15,7
01/1918,22,47,7
02/1918,20,37,6
03/1918,12,43,30
04/1918,3,37,25
05/1918,18,6,12
06/1918,38,32,42
07/1918,5,8,7
08/1918,30,43,47
09/1918,32,14,15
10/1918,2,15,46
11/1918,6,5,1
12/1918,43,24,1
01/1919,19,47,22
02/1919,33,28,11
03/1919,25,4,38
04/1919,5,11,12
05/1919,7,8,38
06/1919,30,27,23
07/1919,7,12,20
08/1919,50,28,20
09/1919,12,33,46
10/1919,8,38,14
11/1919,21,12,34
12/1919,27,0,41
01/1920,21,22,11
02/1920,16,21,26
03/1920,2,31,20
04/1920,46,5,1
05/1920,38,18,30
06/1920,32,43,10
07/1920,30,26,11
08/1920,0,39,7
09/1920,38,40,25
10/1920,38,44,3
11/1920,31,2,0
12/1920,12,40,41
01/1921,36,38,38
02/1921,28,0,46
03/1921,23,28,35
04/1921,40,26,33
05/1921,4,24,39
06/1921,25,39,18
07/1921,38,15,2
08/1921,12,43,23
09/1921,4,20,49
10/1921,27,19,37
11/1921,6,42,25
12/1921,23,26,15
01/1922,10,28,32
02/1922,7,26,15
03/1922,17,26,18
04/1922,30,38,27
05/1922,11,13,45
06/1922,31,9,35
07/1922,39,29,25
08/1922,31,42,16
09/1922,29,8,25
10/1922,40,49,5
11/1922,20,6,49
12/1922,39,47,28
01/1923,1,11,27
02/1923,9,15,3
03/1923,0,33,42
04/1923,14,50,3
05/1923,41,38,19
06/1923,10,42,40
07/1923,36,49,3
08/1923,3,9,5
09/1923,27,17,32
10/1923,43,41,43
11/1923,44,41,47
12/1923,50,12,37
01/1924,17,25,8
02/1924,23,26,48
03/1924,36,39,39
04/1924,13,23,19
05/1924,19,41,29
06/1924,5,21,45
07/1924,41,35,40
08/1924,16,18,24
09/1924,16,4,49
10/1924,31,46,17
11/1924,2,17,33
12/1924,37,28,15
01/1925,9,26,9
02/1925,14,19,9
03/1925,30,16,31
04/1925,50,33,39
05/1925,17,45,2
06/1925,10,25,13
07/1925,30,47,15
08/1925,31,50,38
09/1925,39,10,40
10/1925,31,35,27
11/1925,38,4,2
12/1925,22,13,24
01/1926,20,48,1
02/1926,27,17,14
03/1926,39,50,13
04/1926,42,11,26
05/1926,37,26,33
06/1926,38,11,27
07/1926,34,13,41
08/1926,17,5,25
09/1926,50,32,10
10/1926,21,47,35
11/1926,42,37,11
12/1926,38,10,17
01/1927,39,21,18
02/1927,18,4,37
03/1927,24,2,17
04/1927,29,17,36
05/1927,5,46,26
06/1927,17,20,18
07/1927,46,50,47
08/1927,10,44,22
09/1927,33,3,4
10/1927,23,42,50
11/1927,46,29,13
12/1927,29,33,48
01/1928,50,24,1
02/1928,4,17,17
03/1928,36,36,31
04/1928,26,50,27
05/1928,20,34,44
06/1928,49,2,45
07/1928,31,43,34
08/1928,48,21,32
09/1928,7,45,14
10/1928,9,32,12
11/1928,10,4,2
12/1928,27,5,40
01/1929,45,5,46
02/1929,44,27,25
03/1929,14,43,6
04/1929,40,30,12
05/1929,29,6,16
06/1929,23,4,29
07/1929,19,13,36
08/1929,30,35,0
09/1929,19,42,4
10/1929,44,0,21
11/1929,22,4,46
12/1929,17,18,3
01/1930,47,1,35
02/1930,26,11,50
03/1930,46,31,44
04/1930,25,13,31
05/1930,29,7,24
06/1930,6,49,24
07/1930,28,2,14
08/1930,0,9,7
09/1930,27,38,23
10/1930,9,49,50
11/1930,44,20,29
12/1930,44,47,4
01/1931,14,1,2
02/1931,25,39,7
03/1931,25,37,16
04/1931,22,42,24
05/1931,2,7,50
06/1931,42,32,19
07/1931,36,10,13
08/1931,30,42,22
09/1931,42,12,19
10/1931,43,43,36
11/1931,49,10,41
12/1931,1,9,43
01/1932,37,24,18
02/1932,6,38,9
03/1932,9,10,45
04/1932,2,18,0
05/1932,37,4,6
06/1932,48,13,30
07/1932,34,30,49
08/1932,29,13,22
09/1932,0,12,6
10/1932,8,24,8
11/1932,24,14,38
12/1932,21,34,19
01/1933,25,48,1
02/1933,13,18,7
03/1933,7,36,43
04/1933,20,9,15
05/1933,2,31,24
06/1933,22,47,11
07/1933,28,47,30
08/1933,9,38,21
09/1933,16,37,29
10/1933,14,28,38
11/1933,42,48,48
12/1933,15,6,22
01/1934,46,18,4
02/1934,43,5,22
03/1934,35,3,29
04/1934,29,47,18
05/1934,1,11,42
06/1934,16,9,46
07/1934,41,1,29
08/1934,5,41,33
09/1934,44,31,16
10/1934,49,33,22
11/1934,49,30,29
12/1934,40,31,15
01/1935,6,3,41
02/1935,16,39,43
03/1935,11,15,29
04/1935,7,31,41
05/1935,46,45,21
06/1935,12,6,3
07/1935,8,21,5
08/1935,22,35,31
09/1935,2,12,41
10/1935,25,42,0
11/1935,1,26,12
12/1935,7,0,0
01/1936,24,16,4
02/1936,49,18,21
03/1936,39,30,20
04/1936,22,7,36
05/1936,39,26,41
06/1936,0,8,47
07/1936,22,28,36
08/1936,20,47,12
09/1936,30,10,18
10/1936,14,6,40
11/1936,5,33,50
12/1936,34,26,23
01/1937,45,33,12
02/1937,24,18,12
03/1937,14,27,21
04/1937,41,35,23
05/1937,46,20,26
06/1937,8,7,30
07/1937,12,4,15
08/1937,47,47,34
09/1937,32,14,32
10/1937,10,1,35
11/1937,1,5,46
12/1937,40,28,35
01/1938,15,44,31
02/1938,5,15,19
03/1938,27,45,25
04/1938,50,15,41
05/1938,15,24,38
06/1938,41,46,17
07/1938,50,37,0
08/1938,48,6,1
09/1938,19,45,19
10/1938,0,32,30
11/1938,46,22,20
12/1938,44,30,42
01/1939,36,17,29
02/1939,41,17,6
03/1939,14,26,26
04/1939,47,28,39
05/1939,15,14,13
06/1939,7,18,7
07/1939,44,44,3
08/1939,46,8,27
09/1939,5,31,25
10/1939,17,19,30
11/1939,33,15,27
12/1939,49,30,46
01/1940,40,38,41
02/1940,24,5,7
03/1940,4,14,41
04/1940,45,44,48
05/1940,37,49,46
06/1940,44,30,14
07/1940,48,26,25
08/1940,20,44,14
09/1940,37,11,33
10/1940,36,30,45
11/1940,50,23,15
12/1940,12,47,39
01/1941,0,26,37
02/1941,39,47,29
03/1941,15,3,10
04/1941,32,13,15
05/1941,9,30,13
06/1941,47,34,2
07/1941,34,32,50
08/1941,44,3,28
09/1941,45,3,8
10/1941,48,24,40
11/1941,35,18,17
12/1941,4,26,22
01/1942,40,9,11
02/1942,16,0,13
03/1942,22,35,32
04/1942,14,8,45
05/1942,29,49,20
06/1942,25,35,26
07/1942,22,19,14
08/1942,29,22,0
09/1942,39,13,27
10/1942,15,44,4
11/1942,45,24,20
12/1942,6,4,6
01/1943,47,22,22
02/1943,3,28,34
03/1943,3,38,40
04/1943,46,16,18
05/1943,46,49,36
06/1943,29,40,15
07/1943,28,45,36
08/1943,22,15,13
09/1943,17,11,21
10/1943,34,34,31
11/1943,33,33,26
12/1943,8,44,7
01/1944,20,12,45
02/1944,3,38,32
03/1944,44,1,32
04/1944,4,5,31
05/1944,31,21,16
06/1944,26,30,8
07/1944,21,29,14
08/1944,50,24,37
09/1944,12,32,18
10/1944,28,49,30
11/1944,44,1,10
12/1944,21,31,13
01/1945,22,48,11
02/1945,10,2,44
03/1945,22,7,41
04/1945,25,25,6
05/1945,47,11,35
06/1945,49,6,4
07/1945,24,2,27
08/1945,29,24,14
09/1945,19,3,33
10/1945,18,40,44
11/1945,7,20,24
12/1945,45,2,21
01/1946,35,40,40
02/1946,31,10,32
03/1946,36,43,34
04/1946,11,24,35
05/1946,16,28,38
06/1946,20,12,34
07/1946,49,11,13
08/1946,39,37,33
09/1946,7,28,29
10/1946,17,20,30
11/1946,0,8,32
12/1946,8,21,17
01/1947,12,12,20
02/1947,47,15,50
03/1947,3,47,1
04/1947,49,10,43
05/1947,46,17,44
06/1947,28,14,13
07/1947,16,41,48
08/1947,2,23,43
09/1947,26,25,21
10/1947,25,27,6
11/1947,33,46,17
12/1947,36,46,15
01/1948,2,27,49
02/1948,15,4,32
03/1948,28,3,9
04/1948,44,31,18
05/1948,50,29,38
06/1948,35,39,33
07/1948,6,40,44
08/1948,29,28,37
09/1948,10,35,42
10/1948,20,28,44
11/1948,25,26,37
12/1948,17,2,21
01/1949,40,29,20
02/1949,15,3,30
03/1949,16,47,45
04/1949,31,43,1
05/1949,31,37,14
06/1949,5,15,17
07/1949,46,38,41
08/1949,25,22,10
09/1949,28,45,11
10/1949,13,47,18
11/1949,18,35,47
12/1949,23,34,31
01/1950,35,22,21
02/1950,22,31,38
03/1950,3,35,0
04/1950,27,41,5
05/1950,44,46,30
06/1950,22,28,33
07/1950,7,24,30
08/1950,16,35,32
09/1950,16,8,37
10/1950,39,8,30
11/1950,20,1,31
12/1950,8,7,8
01/1951,7,37,17
02/1951,31,0,18
03/1951,38,8,35
04/1951,27,33,10
05/1951,5,46,30
06/1951,9,4,34
07/1951,4,41,46
08/1951,25,30,45
09/1951,7,43,17
10/1951,42,27,2
11/1951,28,30,4
12/1951,16,17,42
01/1952,47,5,43
02/1952,6,30,2
03/1952,48,29,18
04/1952,20,48,23
05/1952,28,42,30
06/1952,34,28,46
07/1952,50,14,18
08/1952,25,0,15
09/1952,29,18,15
10/1952,39,40,36
11/1952,30,35,11
12/1952,45,23,47
01/1953,25,50,45
02/1953,18,48,28
03/1953,22,13,3
04/1953,8,31,30
05/1953,16,20,14
06/1953,50,15,19
07/1953,19,27,16
08/1953,16,35,5
09/1953,9,13,37
10/1953,10,9,5
11/1953,37,42,13
12/1953,2,21,44
01/1954,34,1,33
02/1954,16,31,16
03/1954,41,19,45
04/1954,0,1,23
05/1954,37,15,11
06/1954,24,26,45
07/1954,16,9,29
08/1954,24,25,7
09/1954,2,50,6
10/1954,49,21,41
11/1954,49,10,32
12/1954,45,21,20
01/1955,14,32,27
02/1955,50,21,30
03/1955,37,22,29
04/1955,33,2,41
05/1955,5,32,38
06/1955,11,1,21
07/1955,44,28,28
08/1955,8,15,16
09/1955,19,45,41
10/1955,9,38,7
11/1955,9,25,6
12/1955,48,26,16
01/1956,48,5,11
02/1956,43,2,44
03/1956,3,27,5
04/1956,38,0,43
05/1956,37,41,14
06/1956,16,19,23
07/1956,22,36,50
08/1956,38,1,13
09/1956,43,36,39
10/1956,3,47,29
11/1956,24,12,9
12/1956,7,47,39
01/1957,3,48,16
02/1957,28,7,23
03/1957,29,18,46
04/1957,46,6,20
05/1957,46,45,27
06/1957,30,19,40
07/1957,0,41,18
08/1957,29,36,49
09/1957,21,28,33
10/1957,30,5,49
11/1957,36,6,50
12/1957,33,35,41
01/1958,42,43,26
02/1958,0,3,46
03/1958,47,37,10
04/1958,35,26,20
05/1958,22,25,1
06/1958,16,6,12
07/1958,13,18,35
08/1958,37,31,42
09/1958,44,24,47
10/1958,8,9,42
11/1958,41,7,20
12/1958,46,32,17
01/1959,19,18,31
02/1959,12,15,9
03/1959,12,45,5
04/1959,16,21,14
05/1959,27,13,4
06/1959,28,36,1
07/1959,15,4,8
08/1959,39,26,36
09/1959,7,31,22
10/1959,40,20,27
11/1959,45,6,45
12/1959,3,11,33
01/1960,4,6,46
02/1960,27,43,37
03/1960,38,41,19
04/1960,42,47,46
05/1960,47,40,38
06/1960,24,16,16
07/1960,35,29,22
08/1960,21,17,16
09/1960,7,8,28
10/1960,46,1,9
11/1960,49,32,2
12/1960,42,25,13
01/1961,0,35,0
02/1961,2,45,39
03/1961,28,48,9
04/1961,29,31,10
05/1961,20,17,9
06/1961,36,16,42
07/1961,32,32,32
08/1961,17,47,34
09/1961,37,15,21
10/1961,8,41,33
11/1961,8,35,30
12/1961,19,48,36
01/1962,14,35,19
02/1962,28,24,32
03/1962,42,9,4
04/1962,46,40,30
05/1962,32,50,44
06/1962,35,39,9
07/1962,35,28,3
08/1962,41,37,18
09/1962,28,39,27
10/1962,23,27,4
11/1962,48,10,50
12/1962,32,9,19
01/1963,1,46,23
02/1963,18,44,49
03/1963,2,37,29
04/1963,4,0,27
05/1963,22,49,15
06/1963,9,19,30
07/1963,17,10,12
08/1963,46,2,4
09/1963,39,15,47
10/1963,19,11,14
11/1963,44,5,26
12/1963,50,13,20
01/1964,29,17,12
02/1964,3,9,44
03/1964,25,22,4
04/1964,48,16,29
05/1964,23,47,13
06/1964,22,1,21
07/1964,34,3,4
08/1964,0,21,50
09/1964,45,47,4
10/1964,0,7,9
11/1964,29,21,39
12/1964,43,32,50
01/1965,43,35,38
02/1965,23,29,45
03/1965,23,31,31
04/1965,4,47,3
05/1965,7,8,29
06/1965,11,15,49
07/1965,25,12,22
08/1965,18,40,47
09/1965,33,17,46
10/1965,29,24,49
11/1965,20,7,29
12/1965,50,16,29
01/1966,3,4,27
02/1966,35,31,22
03/1966,26,15,40
04/1966,9,6,26
05/1966,12,16,38
06/1966,41,28,9
07/1966,25,18,39
08/1966,0,35,16
09/1966,32,24,30
10/1966,39,16,36
11/1966,22,5,31
12/1966,40,16,46
01/1967,10,18,43
02/1967,13,7,23
03/1967,44,28,15
04/1967,48,11,7
05/1967,18,39,17
06/1967,7,5,37
07/1967,15,42,27
08/1967,19,45,45
09/1967,45,42,34
10/1967,42,19,43
11/1967,46,15,11
12/1967,45,24,38
01/1968,41,0,25
02/1968,46,7,42
03/1968,20,35,17
04/1968,9,0,38
05/1968,41,31,5
06/1968,13,38,48
07/1968,12,41,14
08/1968,23,25,11
09/1968,41,6,11
10/1968,7,45,16
11/1968,33,6,39
12/1968,22,1,13
01/1969,27,4,39
02/1969,7,22,46
03/1969,30,12,5
04/1969,11,24,34
05/1969,46,11,25
06/1969,50,1,32
07/1969,34,19,16
08/1969,9,13,7
09/1969,19,32,43
10/1969,7,5,20
11/1969,15,0,24
12/1969,17,24,18
01/1970,4,2,1
02/1970,13,11,25
03/1970,43,38,49
04/1970,50,6,27
05/1970,46,11,43
06/1970,11,31,5
07/1970,25,44,40
08/1970,0,22,35
09/1970,17,30,5
10/1970,27,9,24
11/1970,8,3,18
12/1970,16,48,42
01/1971,43,50,11
02/1971,30,38,42
03/1971,42,45,7
04/1971,19,46,17
05/1971,36,27,22
06/1971,25,47,31
07/1971,3,23,15
08/1971,36,37,24
09/1971,38,9,41
10/1971,6,5,18
11/1971,2,35,2
12/1971,29,47,50
01/1972,41,2,36
02/1972,47,46,33
03/1972,30,24,5
04/1972,32,36,12
05/1972,32,12,18
06/1972,17,16,35
07/1972,24,28,18
08/1972,14,44,27
09/1972,18,9,28
10/1972,21,47,36
11/1972,44,25,21
12/1972,35,44,27
01/1973,14,44,49
02/1973,12,3,31
03/1973,18,17,48
04/1973,14,8,3
05/1973,49,10,32
06/1973,15,12,14
07/1973,20,0,36
08/1973,19,31,30
09/1973,38,0,9
10/1973,27,7,11
11/1973,0,37,22
12/1973,28,28,10
01/1974,6,11,3
02/1974,37,34,36
03/1974,22,19,36
04/1974,46,43,40
05/1974,4,41,41
06/1974,17,6,12
07/1974,38,19,7
08/1974,20,34,49
09/1974,44,42,9
10/1974,23,36,26
11/1974,23,32,13
12/1974,17,47,19
01/1975,47,26,48
02/1975,4,33,25
03/1975,9,22,33
04/1975,23,20,46
05/1975,49,30,0
06/1975,14,15,48
07/1975,28,23,1
08/1975,39,13,17
09/1975,20,37,23
10/1975,16,41,48
11/1975,42,7,7
12/1975,25,24,6
01/1976,32,36,0
02/1976,8,31,15
03/1976,3,18,0
04/1976,9,32,4
05/1976,33,2,1
06/1976,30,37,1
07/1976,21,42,20
08/1976,30,4,5
09/1976,37,47,2
10/1976,41,19,21
11/1976,14,0,45
12/1976,3,35,14
01/1977,41,35,11
02/1977,6,11,3
03/1977,34,5,17
04/1977,21,50,11
05/1977,7,8,35
06/1977,41,19,46
07/1977,5,36,27
08/1977,28,0,5
09/1977,31,25,29
10/1977,35,36,24
11/1977,28,44,38
12/1977,8,35,33
01/1978,40,2,13
02/1978,32,33,12
03/1978,14,22,35
04/1978,13,13,6
05/1978,41,13,16
06/1978,7,32,19
07/1978,17,36,23
08/1978,2,29,45
09/1978,30,15,10
10/1978,36,32,4
11/1978,35,13,9
12/1978,31,26,16
01/1979,5,4,16
02/1979,30,18,23
03/1979,10,26,36
04/1979,34,11,41
05/1979,34,24,28
06/1979,22,8,28
07/1979,16,29,41
08/1979,6,27,30
09/1979,41,14,38
10/1979,42,7,46
11/1979,40,22,4
12/1979,21,11,23
01/1980,35,15,2
02/1980,32,20,16
03/1980,14,16,39
04/1980,38,1,31
05/1980,12,14,27
06/1980,18,15,19
07/1980,23,50,1
08/1980,42,44,34
09/1980,21,12,27
10/1980,16,9,41
11/1980,46,3,47
12/1980,49,48,16
01/1981,25,49,13
02/1981,23,12,49
03/1981,23,10,24
04/1981,43,7,6
05/1981,9,50,5
06/1981,15,19,12
07/1981,24,10,10
08/1981,18,27,31
09/1981,37,11,24
10/1981,45,41,7
11/1981,43,28,15
12/1981,17,17,43
01/1982,37,30,48
02/1982,9,8,25
03/1982,29,46,48
04/1982,3,15,19
05/1982,18,27,20
06/1982,17,41,36
07/1982,11,9,36
08/1982,42,22,44
09/1982,1,33,41
10/1982,18,2,6
11/1982,47,24,47
12/1982,5,44,23
01/1983,24,41,34
02/1983,41,26,48
03/1983,12,4,2
04/1983,49,37,6
05/1983,27,29,5
06/1983,1,23,16
07/1983,49,37,37
08/1983,0,12,32
09/1983,16,39,43
10/1983,50,32,5
11/1983,48,23,7
12/1983,12,17,50
01/1984,35,42,44
02/1984,44,8,17
03/1984,38,18,40
04/1984,42,48,22
05/1984,8,9,8
06/1984,48,30,38
07/1984,44,43,36
08/1984,4,9,49
09/1984,2,38,44
10/1984,24,13,25
11/1984,28,11,20
12/1984,35,9,22
01/1985,5,12,14
02/1985,36,49,33
03/1985,4,44,45
04/1985,37,10,32
05/1985,23,27,27
06/1985,23,16,0
07/1985,20,19,25
08/1985,44,9,1
09/1985,15,23,2
10/1985,29,8,38
11/1985,10,44,31
12/1985,27,41,43
01/1986,40,45,6
02/1986,6,36,5
03/1986,6,20,20
04/1986,38,27,18
05/1986,29,14,28
06/1986,29,35,46
07/1986,12,21,16
08/1986,22,18,12
09/1986,20,41,10
10/1986,16,26,36
11/1986,15,9,43
12/1986,9,3,20
01/1987,47,35,37
02/1987,2,21,36
03/1987,33,30,20
04/1987,14,27,24
05/1987,43,26,21
06/1987,24,16,28
07/1987,44,13,49
08/1987,36,14,26
09/1987,13,47,42
10/1987,44,37,27
11/1987,29,49,47
12/1987,23,37,24
01/1988,9,45,31
02/1988,20,49,36
03/1988,27,46,31
04/1988,36,49,0
05/1988,17,29,47
06/1988,7,46,3
07/1988,29,12,26
08/1988,2,29,38
09/1988,10,35,14
10/1988,15,43,36
11/1988,36,29,12
12/1988,21,44,42
01/1989,47,26,36
02/1989,27,16,16
03/1989,39,38,27
04/1989,32,16,46
05/1989,41,28,29
06/1989,0,35,28
07/1989,29,23,12
08/1989,19,8,19
09/1989,29,12,45
10/1989,14,45,32
11/1989,29,1,49
12/1989,1,19,19
01/1990,46,22,36
02/1990,37,26,6
03/1990,34,25,7
04/1990,15,7,18
05/1990,23,24,24
06/1990,7,38,25
07/1990,11,22,26
08/1990,16,22,41
09/1990,33,41,27
10/1990,27,31,18
11/1990,17,49,3
12/1990,30,18,48
01/1991,50,29,24
02/1991,1,28,23
03/1991,10,5,13
04/1991,33,43,45
05/1991,45,17,6
06/1991,40,25,48
07/1991,41,3,50
08/1991,43,37,32
09/1991,35,23,23
10/1991,40,43,37
11/1991,3,46,8
12/1991,26,25,7
01/1992,45,4,22
02/1992,7,49,23
03/1992,12,49,40
04/1992,40,38,36
05/1992,49,26,11
06/1992,29,1,7
07/1992,0,10,9
08/1992,13,16,14
09/1992,47,0,1
10/1992,49,17,47
11/1992,36,42,4
12/1992,25,4,49
01/1993,0,34,50
02/1993,32,6,31
03/1993,23,44,18
04/1993,7,22,34
05/1993,37,29,1
06/1993,10,2,22
07/1993,2,20,45
08/1993,33,28,40
09/1993,19,29,43
10/1993,29,36,0
11/1993,17,19,17
12/1993,8,37,18
01/1994,9,23,15
02/1994,29,15,5
03/1994,17,30,40
04/1994,21,43,34
05/1994,28,20,36
06/1994,45,21,44
07/1994,1,49,18
08/1994,48,49,7
09/1994,27,1,38
10/1994,12,12,22
11/1994,43,49,31
12/1994,24,30,18
01/1995,36,10,32
02/1995,2,33,25
03/1995,2,16,10
04/1995,25,34,30
05/1995,14,21,6
06/1995,40,5,10
07/1995,39,36,33
08/1995,0,50,17
09/1995,10,7,15
10/1995,38,14,3
11/1995,39,50,20
12/1995,45,39,41
01/1996,11,48,41
02/1996,18,44,14
03/1996,12,44,21
04/1996,43,16,27
05/1996,25,8,34
06/1996,5,40,22
07/1996,45,0,34
08/1996,22,24,10
09/1996,49,1,38
10/1996,41,49,2
11/1996,18,9,43
12/1996,14,13,42
01/1997,0,34,25
02/1997,17,40,21
03/1997,30,12,8
04/1997,49,28,44
05/1997,33,5,9
06/1997,33,45,8
07/1997,50,24,25
08/1997,32,41,6
09/1997,29,1,35
10/1997,34,37,19
11/1997,7,25,49
12/1997,5,32,10
01/1998,46,4,7
02/1998,20,44,20
03/1998,29,28,8
04/1998,13,25,9
05/1998,37,8,45
06/1998,40,37,10
07/1998,23,3,1
08/1998,28,46,7
09/1998,6,34,21
10/1998,13,16,11
11/1998,47,46,40
12/1998,22,43,30
01/1999,30,17,8
02/1999,0,36,17
03/1999,3,21,2
04/1999,31,17,22
05/1999,28,6,30
06/1999,38,46,1
07/1999,23,38,41
08/1999,9,3,13
09/1999,47,8,28
10/1999,24,32,37
11/1999,43,28,26
12/1999,20,29,15
01/2000,49,11,26
02/2000,35,4,43
03/2000,15,16,22
04/2000,19,35,1
05/2000,38,48,38
06/2000,15,49,41
07/2000,40,32,50
08/2000,0,35,23
09/2000,30,12,32
10/2000,14,1,15
11/2000,15,40,50
12/2000,3,47,39
01/2001,10,50,41
02/2001,45,43,0
03/2001,47,42,7
04/2001,24,19,18
05/2001,7,3,16
06/2001,25,43,42
07/2001,24,14,20
08/2001,3,22,35
09/2001,21,24,30
10/2001,30,10,4
11/2001,49,33,40
12/2001,15,21,35
01/2002,47,9,1
02/2002,34,26,21
03/2002,13,42,29
04/2002,0,20,19
05/2002,3,42,34
06/2002,13,46,41
07/2002,27,6,48
08/2002,7,12,29
09/2002,20,25,18
10/2002,42,19,22
11/2002,33,18,20
12/2002,5,14,12
01/2003,1,32,50
02/2003,23,2,16
03/2003,48,29,26
04/2003,37,7,43
05/2003,30,46,27
06/2003,16,17,19
07/2003,42,21,4
08/2003,29,40,8
09/2003,11,2,25
10/2003,41,35,5
11/2003,49,4,18
12/2003,15,42,42
01/2004,24,36,22
02/2004,47,39,25
03/2004,3,13,38
04/2004,34,50,39
05/2004,35,46,31
06/2004,32,8,24
07/2004,50,18,31
08/2004,2,46,31
09/2004,45,0,1
10/2004,40,28,20
11/2004,48,23,7
12/2004,12,12,9
01/2005,45,43,2
02/2005,2,0,6
03/2005,3,38,44
04/2005,50,37,2
05/2005,45,37,19
06/2005,25,35,24
07/2005,30,8,45
08/2005,40,11,10
09/2005,50,13,15
